sessionToken,examId,questionId,optionId
test-session-token-1-1784096582881,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-2-1784096584388,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-3-1784096585060,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-4-1784096586245,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-5-1784096587631,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-6-1784096588540,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-7-1784096589741,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-8-1784096590600,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-9-1784096591744,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-10-1784096593047,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-11-1784096594048,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-12-1784096595119,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-13-1784096596259,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-14-1784096597216,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-15-1784096598694,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-16-1784096600133,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-17-1784096601400,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-18-1784096602847,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
test-session-token-19-1784096605362,cmr8sthck0000csau0ynywio9,cmr8surzn0001csauiakx1j3k,cmr8sus6p0003csauy76z3dsa
